,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
51,"1,1,1-Trichloorethaan",passed,0.000564492,1.00056291,71-55-6,"1,1,1-Trichloroethane",133.4,2343.333333,2.8,0.760444292,ClAlk,1,,0.001
52,"1,1,2-Trichloorethaan",passed,5.57E-05,1.000558591,79-00-5,"1,1,2-Trichloroethane",133.4,3055,1.89,0.753447145,ClAlk,1,,0.001
54,"1,1-Dichloorethaan",passed,0.000116023,1.000628867,75342,"1,1-Dichloroethane",98.96499987,5223.690293,1.79,0.360665595,ClAlk,1,,0.001
53,"1,1-dichlooretheen",passed,0.0003109,1.000668469,,"1,1-dichlooretheen",97,1824,2.13,0.589733613,ClAlk,1,,0.001
48,"1,2,3,4-tetrachlorobenzene",passed,0.015605946,1.000197415,,"1,2,3,4-tetrachlorobenzene",215.9,3.399273364,4.64,2.67369577,ClArom,1,,0.001
49,"1,2,3,5-tetrachlorobenzene",passed,0.019902295,1.000220006,,"1,2,3,5-tetrachlorobenzene",215.9,2.614957562,4.66,2.333981434,ClArom,1,,0.001
39,"1,2,3-Trichloorbenzeen",passed,0.006773729,1.000484419,87-61-6,"1,2,3-Trichlorobenzene",181.439995,13.62398701,4.14,1.994666142,ClArom,1,,0.001
50,"1,2,4,5-tetrachlorobenzene",passed,0.062946773,1.000752764,,"1,2,4,5-tetrachlorobenzene",215.9,0.68248085,4.6,2.533894299,ClArom,1,,0.001
40,"1,2,4-Trichloorbenzeen",passed,0.004764534,1.000499546,120-82-1,"1,2,4-Trichlorobenzene",181.439995,28.80802015,4.05,2.044515105,ClArom,1,,0.001
41,"1,2-Dichloorbenzeen",passed,0.002264465,1.00050904,95-50-1,"1,2-Dichlorobenzene",147.0024999,140.218586,3.43,1.36831917,ClArom,1,,0.001
55,"1,2-Dichloorethaan",passed,4.95E-05,1.000605496,107-06-2,"1,2-Dichloroethane",98.97333154,10188.83247,1.47,0.311244667,ClAlk,1,79.4,0.003
