,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
0,"1,1,1-Trichloorethaan",passed,0.0005644933654909707,0.9919463456531956,71-55-6,"1,1,1-Trichloroethane",133.4,2343.333333,2.8,0.760444292,ClAlk,1.0,,0.001
1,"1,1,2-Trichloorethaan",passed,5.5747456835362704e-05,0.9976827442611621,79-00-5,"1,1,2-Trichloroethane",133.4,3055.0,1.89,0.753447145,ClAlk,1.0,,0.001
2,"1,1-Dichloorethaan",passed,0.00011602250675573368,1.0041174812037021,75342,"1,1-Dichloroethane",98.96499987,5223.690293,1.79,0.360665595,ClAlk,1.0,,0.001
3,"1,1-dichlooretheen",passed,0.0003109005185091881,1.0066914941771614,,"1,1-dichlooretheen",97.0,1824.0,2.13,0.589733613,ClAlk,1.0,,0.001
4,"1,2,3,4-tetrachlorobenzene",passed,0.015605002401475086,0.997125719444824,,"1,2,3,4-tetrachlorobenzene",215.9,3.399273364,4.64,2.67369577,ClArom,1.0,,0.001
5,"1,2,3,5-tetrachlorobenzene",passed,0.01990437660520725,0.9997616069560546,,"1,2,3,5-tetrachlorobenzene",215.9,2.614957562,4.66,2.333981434,ClArom,1.0,,0.001
6,"1,2,3-Trichloorbenzeen",passed,0.006773806123430604,1.0003093042705955,87-61-6,"1,2,3-Trichlorobenzene",181.439995,13.62398701,4.14,1.994666142,ClArom,1.0,,0.001
7,"1,2,4,5-tetrachlorobenzene",passed,6.001511073896993e-05,0.006840229671866035,,"1,2,4,5-tetrachlorobenzene",215.9,0.68248085,4.6,2.533894299,ClArom,1.0,,0.001
8,"1,2,4-Trichloorbenzeen",passed,3.0314226792434423e-05,0.006859461936070975,120-82-1,"1,2,4-Trichlorobenzene",181.439995,28.80802015,4.05,2.044515105,ClArom,1.0,,0.001
9,"1,2-Dichloorbenzeen",passed,1.523267343578412e-05,0.006767545088510682,95-50-1,"1,2-Dichlorobenzene",147.0024999,140.218586,3.43,1.36831917,ClArom,1.0,,0.001
