,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
0,PCB 180,passed,0.9229354044317013,0.9948901676318647,,PCB 180,395.3,0.006265083,7.3,4.753464668,PCB,2.0,360.9,0.0001
1,PCB 28,passed,0.6220260825138765,0.9980498227920687,,PCB 28,257.5,0.20453952,5.65,3.373509124,PCB,2.0,257.5,0.0001
2,PCB 52,passed,0.6171053237283067,1.0051379679267323,,PCB 52,292.0,0.116247294,5.85,3.463500793,PCB,2.0,,0.0001
3,PCB 101,passed,0.7898110320417832,1.001416545042816,,PCB 101,325.1617,0.057913166,6.316,4.293468622,PCB,2.0,,0.0001
4,PCB 118,passed,0.8984039122930467,1.0066092257920236,,PCB 118,341.3406,0.032261293,6.5081,5.113463578,PCB,2.0,,0.0001
5,PCB 138,passed,0.9002943821633526,0.9989380613897506,,PCB 138,360.3746,0.017903781,6.7341,4.473466391,PCB,2.0,,0.0001
6,PCB 153,passed,0.8872624782477534,0.9975006909882531,,PCB 153,374.6501,0.012145224,6.9036,4.63346528,PCB,2.0,,0.0001
7,Antraceen,passed,0.028483413555011057,1.0057188907309003,,anthracene,178.1,4.350184731,4.525,3.063556603,PAK,1.0,158.9,0.0001
8,benz[a]anthracene,passed,0.5115322871093213,1.0057407419609692,,benz[a]anthracene,228.15,0.138965154,5.78,4.553465774,PAK,1.0,194.9,0.0001
9,"benzo(g,h,i)perylene",passed,0.5671150975291506,1.0080685083767138,,"benzo(g,h,i)perylene",276.3,0.000186,6.22,5.193463434,PAK,1.0,241.3,0.0001
10,benzo[a]pyrene,passed,0.5804512285054854,0.9979009182624818,,benzo[a]pyrene,252.15,0.026200963,6.115,4.583465572,PAK,1.0,218.05,1e-05
11,benzo[b]fluoranthene,passed,0.41307733791288204,1.0091276152703186,,benzo[b]fluoranthene,252.15,0.026200963,5.84,4.103471294,PAK,1.0,231.8,0.0001
12,chrysene,passed,0.49638384511331146,1.0072176482541366,,chrysene,228.15,0.138965154,5.755,4.483466305,PAK,1.0,196.3,0.0001
13,Fenanthreen,passed,0.11986005246356271,1.0081510829996452,85-01-8,Phenanthrene,178.21,0.85,4.47,2.993573044,PAK,1.0,,0.0001
14,fluoranthene,passed,0.2462315319180328,1.008469513089252,,fluoranthene,202.15,0.836365063,5.08,3.943475119,PAK,1.0,195.85,0.0001
15,"indeno[1,2,3-cd]pyrene",passed,0.8122890568911856,1.0023187399320226,,"indeno[1,2,3-cd]pyrene",276.0,0.000265,6.7,4.783464526,PAK,1.0,253.4,0.0001
16,Naftaleen,passed,0.003241069344745394,1.009138979576855,91-20-3,Naphthalene,128.19,31.8,3.3,1.745433577,PAK,1.0,124.6,0.001
17,aldrin,passed,0.03782101526695559,1.0091713409150551,,aldrin,364.9,0.916587359,6.3,2.7036797,overige,3.0,240.1,3e-05
18,Chloordaan,passed,0.0072075941255276355,1.0092436001703122,,Chlordane,410.0,0.14,5.8,3.363509843,overige,3.0,,0.0001
19,dieldrin,passed,0.0009061185034529887,1.0067184384771284,,dieldrin,380.9,4.795246894,5.5,2.753654239,overige,3.0,253.7,3e-05
20,endrin,passed,0.0011419675325819306,1.0031701475178547,,endrin,380.9,1.204511561,5.0,2.713672709,overige,3.0,253.7,0.0001
21,heptachlor,passed,0.012507446355822436,1.002725031038629,,heptachlor,373.3,1.180478251,6.0,3.213533128,overige,3.0,230.8,3e-05
22,heptachlor epoxide,passed,0.0006305510180338232,1.0067599188639542,,heptachlor epoxide,389.3,4.900996628,5.4,1.705641075,overige,3.0,233.7,3e-05
