,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
0,PCB 180,failed,0.9999995611581254,1.6231523543219345e-301,,PCB 180,395.3,0.006265083,7.3,4.753464668,PCB,2.0,360.9,0.0001
1,PCB 28,failed,0.9999658909279853,9.299161418012313e-302,,PCB 28,257.5,0.20453952,5.65,3.373509124,PCB,2.0,257.5,0.0001
2,PCB 52,failed,0.9999704390525819,1.017602880778764e-301,,PCB 52,292.0,0.116247294,5.85,3.463500793,PCB,2.0,,0.0001
3,PCB 101,failed,0.9999945318207144,1.5176963629957442e-301,,PCB 101,325.1617,0.057913166,6.316,4.293468622,PCB,2.0,,0.0001
4,PCB 118,failed,0.9999986172406816,1.614668344356465e-301,,PCB 118,341.3406,0.032261293,6.5081,5.113463578,PCB,2.0,,0.0001
5,PCB 138,failed,0.9999990343150684,1.5769659465999174e-301,,PCB 138,360.3746,0.017903781,6.7341,4.473466391,PCB,2.0,,0.0001
6,PCB 153,failed,0.9999988225185721,1.6049347978559352e-301,,PCB 153,374.6501,0.012145224,6.9036,4.63346528,PCB,2.0,,0.0001
7,Antraceen,failed,0.9768814319610596,3.96e-321,,anthracene,178.1,4.350184731,4.525,3.063556603,PAK,1.0,158.9,0.0001
8,benz[a]anthracene,failed,0.9999518740624189,6.871499893858987e-302,,benz[a]anthracene,228.15,0.138965154,5.78,4.553465774,PAK,1.0,194.9,0.0001
9,"benzo(g,h,i)perylene",failed,0.9999796936107799,9.139146233210483e-302,,"benzo(g,h,i)perylene",276.3,0.000186,6.22,5.193463434,PAK,1.0,241.3,0.0001
10,benzo[a]pyrene,failed,0.9999774232733994,1.0310729717140785e-301,,benzo[a]pyrene,252.15,0.026200963,6.115,4.583465572,PAK,1.0,218.05,1e-05
11,benzo[b]fluoranthene,failed,0.9999246411886068,4.030897270891274e-302,,benzo[b]fluoranthene,252.15,0.026200963,5.84,4.103471294,PAK,1.0,231.8,0.0001
12,chrysene,failed,0.9999465995788575,6.223725466767592e-302,,chrysene,228.15,0.138965154,5.755,4.483466305,PAK,1.0,196.3,0.0001
13,Fenanthreen,failed,0.9972775321006774,2.5e-323,85-01-8,Phenanthrene,178.21,0.85,4.47,2.993573044,PAK,1.0,,0.0001
14,fluoranthene,failed,0.9995313159465791,3.6548868513393585e-305,,fluoranthene,202.15,0.836365063,5.08,3.943475119,PAK,1.0,195.85,0.0001
15,"indeno[1,2,3-cd]pyrene",failed,0.9999974670559169,1.2643028414711809e-301,,"indeno[1,2,3-cd]pyrene",276.0,0.000265,6.7,4.783464526,PAK,1.0,253.4,0.0001
16,Naftaleen,passed,0.3854412532806397,1.0038722626722123,91-20-3,Naphthalene,128.19,31.8,3.3,1.745433577,PAK,1.0,124.6,0.001
17,aldrin,failed,0.9869760187149051,0.0,,aldrin,364.9,0.916587359,6.3,2.7036797,overige,3.0,240.1,3e-05
18,Chloordaan,failed,0.8390053588867187,2.8240517925962654,,Chlordane,410.0,0.14,5.8,3.363509843,overige,3.0,,0.0001
19,dieldrin,passed,0.16843481507301322,1.0023131463028436,,dieldrin,380.9,4.795246894,5.5,2.753654239,overige,3.0,253.7,3e-05
20,endrin,passed,0.16646519775390617,1.002002521054603,,endrin,380.9,1.204511561,5.0,2.713672709,overige,3.0,253.7,0.0001
21,heptachlor,failed,0.924995294189453,0.0,,heptachlor,373.3,1.180478251,6.0,3.213533128,overige,3.0,230.8,3e-05
22,heptachlor epoxide,passed,0.10174674806594844,1.0018386569725402,,heptachlor epoxide,389.3,4.900996628,5.4,1.705641075,overige,3.0,233.7,3e-05
23,"o,p’-DDD",passed,0.9993501955449582,0.9999967011789871,,"o,p’-DDD",320.1,0.3201,6.8,3.943475106,overige,3.0,224.8,0.0001
24,"o,p’-DDE",failed,0.9998021323680879,5.668205584550234e-303,,"o,p’-DDE",318.0,0.400338281,7.1,4.1134711,overige,3.0,221.1,0.0001
25,"o,p’-DDT",failed,0.9940433498978614,0.0,,"o,p’-DDT",354.5,0.177670874,6.4,4.343467663,overige,3.0,237.7,0.0001
26,α-endosulfan,passed,0.0200118030933663,0.9974403198025732,,α-endosulfan,406.9,2.567365435,4.9,1.874913747,overige,3.0,236.3,0.0001
27,α-HCH,passed,0.0011907418163014391,0.9917626625759017,,α-HCH,290.8,91.95903436,3.9,2.09433891,overige,3.0,178.0,0.0001
28,β-HCH,passed,0.0010565923069609383,0.9910762182086391,,β-HCH,290.8,460.8869404,3.9,2.134261869,overige,3.0,178.0,0.0001
29,γ-HCH,passed,0.000969418072431161,0.9912474964994896,,γ-HCH,290.8,73.04565743,3.8,1.755373969,overige,3.0,178.0,0.0001
30,δ-HCH,passed,0.0011747577974254187,0.9970369941900862,,δ-HCH,290.8,115.7695652,3.9,2.134261869,overige,3.0,178.0,0.0001
31,Fenol,passed,8.708619067188388e-05,0.9923748736241577,108-95-2,Phenol,94.10499987,65559.5567,1.48,0.336603308,O2,3.0,,0.001
32,Benzeen,failed,0.016669065611995725,0.9865316589956352,71-43-2,Benzene,78.10666652,1988.898826,2.13,0.659555885,MAK,1.0,89.4,0.001
33,Ethylbenzeen,passed,0.38119305906295775,1.002506398339954,100-41-4,Ethylbenzene,106.186665,159.4494297,3.15,1.299931656,MAK,1.0,,0.001
34,m-Xyleen,passed,0.42632690429687503,1.0032114095548528, 108-38-3 ,m-Xylene,106.1899991,197.4065205,3.2,1.181562839,MAK,1.0,,0.001
35,o-Xyleen,passed,0.34036748352050783,0.999945832423581, 95-47-6 ,o-Xylene,106.186665,218.9335957,3.12,0.956771645,MAK,1.0,,0.001
36,p-Xyleen,passed,0.37285115041732786,1.0027006639117007,,p-Xylene,106.186665,210.9384616,3.15,1.428036212,MAK,1.0,123.9,0.001
37,Styrene,passed,0.20381497802734372,1.0076825537098804,100-42-5,Styrene,104.1485645,320.0573505,2.95,1.348594147,MAK,1.0,,0.001
38,Tolueen,passed,0.1296539511919021,1.0068583693585902,108-88-3,Toluene,92.14249285,610.5910523,2.73,0.870272715,MAK,1.0,106.9,0.001
39,"1,2,3-Trichloorbenzeen",failed,0.7940879760742187,1.2207345272939893,87-61-6,"1,2,3-Trichlorobenzene",181.439995,13.62398701,4.14,1.994666142,ClArom,1.0,,0.001
40,"1,2,4-Trichloorbenzeen",passed,0.6814436019897461,0.9975090620192854,120-82-1,"1,2,4-Trichlorobenzene",181.439995,28.80802015,4.05,2.044515105,ClArom,1.0,,0.001
41,"1,2-Dichloorbenzeen",passed,0.29441808989048,1.0063193531273167,95-50-1,"1,2-Dichlorobenzene",147.0024999,140.218586,3.43,1.36831917,ClArom,1.0,,0.001
42,"1,3,5-Trichloorbenzeen",failed,0.8900409042358397,-0.0,108-70-3,"1,3,5-Trichlorobenzene",181.4249983,4.711953407,4.19,2.744256831,ClArom,1.0,,0.001
43,"1,3-Dichloorbenzeen",passed,0.27271868572235103,1.0046959041664232,541-73-1,"1,3-Dichlorobenzene",147.0,114.3333333,3.4,1.546462047,ClArom,1.0,,0.001
44,"1,4-Dichloorbenzeen",passed,0.3287512231588363,1.0017125897742354,106-46-7,"1,4-Dichlorobenzene",147.0019999,60.52630716,3.44,1.586462047,ClArom,1.0,,0.001
45,Hexachloorbenzeen,failed,0.9996246474862098,1.8927095440478047e-304,118741,Hexachlorobenzene,284.8,0.0117,5.73,2.823626427,ClArom,1.0,,0.001
46,Monochloorbenzeen,passed,0.11640972296893587,1.005904505200534,108-90-7,Chlorobenzene,112.5899987,507.425862,2.89,1.112564971,ClArom,1.0,,0.001
47,Pentachloorbenzeen,failed,0.9973923191666603,2.8e-322,608-93-5,Pentachlorobenzene,250.1297785,0.322818462,5.076666667,2.683710051,ClArom,1.0,,0.001
48,"1,2,3,4-tetrachlorobenzene",failed,0.9536598773956301,0.0,,"1,2,3,4-tetrachlorobenzene",215.9,3.399273364,4.64,2.67369577,ClArom,1.0,,0.001
49,"1,2,3,5-tetrachlorobenzene",failed,0.9672693561553956,0.0,,"1,2,3,5-tetrachlorobenzene",215.9,2.614957562,4.66,2.333981434,ClArom,1.0,,0.001
50,"1,2,4,5-tetrachlorobenzene",failed,0.9936682357788087,0.0,,"1,2,4,5-tetrachlorobenzene",215.9,0.68248085,4.6,2.533894299,ClArom,1.0,,0.001
51,"1,1,1-Trichloorethaan",passed,0.03134687499999997,0.9928287745912748,71-55-6,"1,1,1-Trichloroethane",133.4,2343.333333,2.8,0.760444292,ClAlk,1.0,,0.001
52,"1,1,2-Trichloorethaan",passed,0.0012331509033699796,0.9952902994961638,79-00-5,"1,1,2-Trichloroethane",133.4,3055.0,1.89,0.753447145,ClAlk,1.0,,0.001
53,"1,1-dichlooretheen",passed,0.007664105379643998,0.995057834958259,,"1,1-dichlooretheen",97.0,1824.0,2.13,0.589733613,ClAlk,1.0,,0.001
54,"1,1-Dichloorethaan",passed,0.002556840673853704,0.9929995445330471,75342,"1,1-Dichloroethane",98.96499987,5223.690293,1.79,0.360665595,ClAlk,1.0,,0.001
55,"1,2-Dichloorethaan",passed,0.0010932924784625604,0.9929929977746739,107-06-2,"1,2-Dichloroethane",98.97333154,10188.83247,1.47,0.311244667,ClAlk,1.0,79.4,0.003
56,"1,2-Dichlooretheen(cis)",passed,0.0041170702561970475,0.9923171482200792,156-59-2,"1,2-dichloro-, (Z)-Ethene",96.95,775.6,1.906666667,0.625232261,ClAlk,1.0,,0.001
57,"1,2-dichlooretheen(trans)",passed,0.000538205321185497,0.9976819253388397,156-60-5,"1,2-dichloro-, (1E)-Ethene",96.95,581.7,1.09,0.627641144,ClAlk,1.0,,0.001
58,"1,2-dichloorpropaan",passed,0.0030224859164414476,0.9953631665466337,78-87-5,"1,2-Dichloropropane",113.0,1469.0,1.99,0.392478925,ClAlk,1.0,,0.001
59,"1,3-dichloorpropaan",passed,0.0030224859164414476,0.9953631665466337,,"1,3-dichloropropane",113.0,1469.0,1.99,0.392478925,ClAlk,1.0,,0.001
